Timestamp,Human readable date,Voltaje Batería,Context
1581465652922,2020-02-11 21:00:52,4.0516405,b'{}'
1581465014993,2020-02-11 20:50:14,4.0947714,b'{}'
1581464112130,2020-02-11 20:35:12,4.0895205,b'{}'
1581463210128,2020-02-11 20:20:10,4.0956907,b'{}'
1581462307472,2020-02-11 20:05:07,4.086464,b'{}'
1581462052909,2020-02-11 20:00:52,4.0548606,b'{}'
1581461517546,2020-02-11 19:51:57,4.0937777,b'{}'
1581460614922,2020-02-11 19:36:54,4.0960727,b'{}'
1581458811583,2020-02-11 19:06:51,4.096031,b'{}'
1581457906005,2020-02-11 18:51:46,4.0906787,b'{}'
1581457074103,2020-02-11 18:37:54,4.097222,b'{}'
1581457018300,2020-02-11 18:36:58,4.097222,b'{}'
1581456102715,2020-02-11 18:21:42,4.0967712,b'{}'
1581455198819,2020-02-11 18:06:38,4.0934315,b'{}'
1581454296890,2020-02-11 17:51:36,4.0908175,b'{}'
1581453393189,2020-02-11 17:36:33,4.0930185,b'{}'
1581452490910,2020-02-11 17:21:30,4.0927777,b'{}'
1581451586973,2020-02-11 17:06:26,4.0965676,b'{}'
1581450685768,2020-02-11 16:51:25,4.092239,b'{}'
1581449782249,2020-02-11 16:36:22,4.0958347,b'{}'
1581448879266,2020-02-11 16:21:19,4.088125,b'{}'
1581447976908,2020-02-11 16:06:16,4.0905848,b'{}'
1581447073970,2020-02-11 15:51:13,4.091261,b'{}'
1581446172627,2020-02-11 15:36:12,4.0919666,b'{}'
1581445268964,2020-02-11 15:21:08,4.0967445,b'{}'
1581444566216,2020-02-11 15:09:26,4.092423,b'{}'
1581444467515,2020-02-11 15:07:47,4.092423,b'{}'
1581443464262,2020-02-11 14:51:04,4.088137,b'{}'
1581442564234,2020-02-11 14:36:04,4.0943766,b'{}'
1581441721918,2020-02-11 14:22:01,4.0922184,b'{}'
1581440757863,2020-02-11 14:05:57,4.0939093,b'{}'
1581439856610,2020-02-11 13:50:56,4.090871,b'{}'
1581438960207,2020-02-11 13:36:00,4.094223,b'{}'
1581438049636,2020-02-11 13:20:49,4.0962925,b'{}'
1581437145871,2020-02-11 13:05:45,4.091388,b'{}'
1581436242799,2020-02-11 12:50:42,4.095054,b'{}'
1581435347052,2020-02-11 12:35:47,4.0940914,b'{}'
1581433535986,2020-02-11 12:05:35,4.0904646,b'{}'
1581432634171,2020-02-11 11:50:34,4.0928593,b'{}'
1581431730782,2020-02-11 11:35:30,4.0943146,b'{}'
1581430828806,2020-02-11 11:20:28,4.089937,b'{}'
1581429925663,2020-02-11 11:05:25,4.09449,b'{}'
1581429023717,2020-02-11 10:50:23,4.0893393,b'{}'
1581428120928,2020-02-11 10:35:20,4.091584,b'{}'
1581427218015,2020-02-11 10:20:18,4.0858583,b'{}'
1581426315796,2020-02-11 10:05:15,4.0887012,b'{}'
1581425413771,2020-02-11 09:50:13,4.090804,b'{}'
1581424511709,2020-02-11 09:35:11,4.091981,b'{}'
1581423609708,2020-02-11 09:20:09,4.097165,b'{}'
1581422707503,2020-02-11 09:05:07,4.0894384,b'{}'
1581422453133,2020-02-11 09:00:53,4.052106,b'{}'
1581421832785,2020-02-11 08:50:32,4.0959234,b'{}'
1581420931505,2020-02-11 08:35:31,4.089241,b'{}'
1581420028624,2020-02-11 08:20:28,4.0912886,b'{}'
1581419126651,2020-02-11 08:05:26,4.097998,b'{}'
1581418224058,2020-02-11 07:50:24,4.0910683,b'{}'
1581417321122,2020-02-11 07:35:21,4.0933504,b'{}'
1581416417688,2020-02-11 07:20:17,4.087981,b'{}'
1581415514686,2020-02-11 07:05:14,4.092512,b'{}'
1581414612622,2020-02-11 06:50:12,4.091585,b'{}'
1581413710723,2020-02-11 06:35:10,4.0894823,b'{}'
1581412807681,2020-02-11 06:20:07,4.0914116,b'{}'
1581411905347,2020-02-11 06:05:05,4.0835114,b'{}'
1581411654732,2020-02-11 06:00:54,4.0469246,b'{}'
1581411034858,2020-02-11 05:50:34,4.092148,b'{}'
1581410130917,2020-02-11 05:35:30,4.0927725,b'{}'
1581409229517,2020-02-11 05:20:29,4.091061,b'{}'
1581408326651,2020-02-11 05:05:26,4.0915766,b'{}'
1581407424030,2020-02-11 04:50:24,4.0969114,b'{}'
1581406520832,2020-02-11 04:35:20,4.0894494,b'{}'
1581405618669,2020-02-11 04:20:18,4.0922704,b'{}'
1581404716605,2020-02-11 04:05:16,4.0932684,b'{}'
1581403814572,2020-02-11 03:50:14,4.0953994,b'{}'
1581402912411,2020-02-11 03:35:12,4.0942717,b'{}'
1581402009503,2020-02-11 03:20:09,4.0933094,b'{}'
